batch_size,comment,data_portion,dataset,dropout_rate,duration,exp_no,gamma,init_meth,k,lf_str,lr,max_GPUmemory_allocated,max_GPUmemory_reserved,n_epochs,optim_str,scheduler_str,step_size,test_ARGMAX,test_MSE,train_ARGMAX,train_MSE,valid_ARGMAX,valid_MSE,version,w_decay
32,不进行内存监控，不使用pin_memory，数据取出后再放入显存，数据量0.1,0.1,MNISTinCCD_C,0.3,00:19:03,1,1,zero,1,mse,5.00E-05,1.452054977,1.69921875,100,adam,step,12,0.102,0.089988126,0.09375,0.090029261,0.095,0.090017111,1,0
32,不进行内存监控，不使用pin_memory，数据取出后再放入显存，数据量0.1,0.1,MNISTinCCD_C,0.3,00:19:02,2,1,zero,1,mse,5.00E-05,1.506395817,1.7265625,100,adam,step,12,0.096,0.089970707,0.107,0.090001987,0.094,0.090001608,1,0
32,不进行内存监控，不使用pin_memory，数据取出后再放入显存，数据量0.1,0.1,MNISTinCCD_C,0.3,00:19:02,3,1,zero,1,mse,5.00E-05,1.50895977,1.7265625,100,adam,step,12,0.111,0.089987122,0.09875,0.090011843,0.098,0.089997126,1,0
32,不进行内存监控，不使用pin_memory，数据取出后再放入显存，数据量0.4,0.4,MNISTinCCD_C,0.3,01:15:45,4,1,zero,1,mse,5.00E-05,1.452054977,1.69921875,100,adam,step,12,0.10775,0.103280305,0.1011875,0.090000973,0.10825,0.103238362,1,0
32,不进行内存监控，不使用pin_memory，数据取出后再放入显存，数据量0.4,0.4,MNISTinCCD_C,0.3,01:15:35,5,1,zero,1,mse,5.00E-05,1.506395817,1.7265625,100,adam,step,12,0.10775,0.17805501,0.1006875,0.090004704,0.10825,0.177956634,1,0
32,不进行内存监控，不使用pin_memory，数据取出后再放入显存，数据量0.4,0.4,MNISTinCCD_C,0.3,01:15:36,6,1,zero,1,mse,5.00E-05,1.506395817,1.7265625,100,adam,step,12,0.1045,0.160565828,0.10325,0.090011763,0.0985,0.161634098,1,0
32,不进行内存监控，不使用pin_memory，数据取出后再放入显存，数据量0.7,0.7,MNISTinCCD_C,0.3,02:13:44,7,1,zero,1,mse,5.00E-05,1.452054977,1.69921875,100,adam,step,12,0.096142857,0.175242702,0.1025,0.090012193,0.096142857,0.175228758,1,0
32,不进行内存监控，不使用pin_memory，数据取出后再放入显存，数据量0.7,0.7,MNISTinCCD_C,0.3,02:13:01,8,1,zero,1,mse,5.00E-05,1.449802399,1.69921875,100,adam,step,12,0.107285714,0.17854286,0.103285714,0.090001583,0.113428571,0.177314289,1,0
32,不进行内存监控，不使用pin_memory，数据取出后再放入显存，数据量0.7,0.7,MNISTinCCD_C,0.3,02:13:00,9,1,zero,1,mse,5.00E-05,1.507914066,1.7265625,100,adam,step,12,0.107285714,0.178542765,0.104107143,0.090004291,0.113428571,0.177314193,1,0
32,不进行内存监控，不使用pinmemory&nonblocking直接将所有数据放在显存中，数据量0.1,0.1,MNISTinCCD_C,0.3,00:18:10,10,1,zero,1,mse,5.00E-05,2.575325966,2.822265625,100,adam,step,12,0.096,0.089998389,0.098,0.089994359,0.096,0.089986233,1,0
