CMDLINE C:\ProgramData\anaconda3\envs\torch_env\python.exe main_googlenet.py
MEM 1.554688 1714303954.2722
MEM 22.878906 1714303954.3754
MEM 150.875000 1714303954.4781
MEM 172.804688 1714303954.5809
MEM 186.664062 1714303954.6836
MEM 202.910156 1714303954.7863
MEM 230.398438 1714303954.8891
MEM 249.734375 1714303954.9915
MEM 255.257812 1714303955.0942
MEM 263.617188 1714303955.1971
MEM 272.882812 1714303955.2998
MEM 287.042969 1714303955.4025
MEM 295.546875 1714303955.5052
MEM 304.761719 1714303955.6082
MEM 313.917969 1714303955.7109
MEM 321.222656 1714303955.8136
MEM 326.382812 1714303955.9164
MEM 334.062500 1714303956.0193
MEM 347.203125 1714303956.1220
MEM 356.812500 1714303956.2252
MEM 373.625000 1714303956.3279
MEM 381.039062 1714303956.4306
MEM 387.539062 1714303956.5334
MEM 400.421875 1714303956.6361
MEM 406.585938 1714303956.7388
MEM 411.617188 1714303956.8415
MEM 418.964844 1714303956.9443
MEM 423.261719 1714303957.0464
MEM 452.898438 1714303957.1886
MEM 453.023438 1714303957.3133
MEM 458.546875 1714303957.4589
MEM 465.390625 1714303957.6155
MEM 469.570312 1714303957.7560
MEM 475.761719 1714303957.9085
MEM 478.804688 1714303958.0458
MEM 481.660156 1714303958.1552
MEM 481.996094 1714303958.3049
MEM 480.343750 1714303958.4514
MEM 485.730469 1714303958.5911
MEM 494.332031 1714303958.7142
MEM 495.089844 1714303958.8726
MEM 497.507812 1714303959.0033
MEM 494.425781 1714303959.1379
MEM 493.457031 1714303959.2795
MEM 498.152344 1714303959.4341
MEM 492.234375 1714303959.5917
MEM 496.285156 1714303959.7253
MEM 506.292969 1714303959.8749
MEM 511.265625 1714303960.0175
MEM 520.859375 1714303960.1341
MEM 510.804688 1714303960.2647
MEM 520.105469 1714303960.3974
MEM 529.929688 1714303960.5500
MEM 521.695312 1714303960.6996
MEM 532.503906 1714303960.8372
MEM 527.652344 1714303960.9868
MEM 528.191406 1714303961.1224
MEM 530.734375 1714303961.2461
MEM 532.277344 1714303961.3887
MEM 531.558594 1714303961.5463
MEM 538.593750 1714303961.6849
MEM 546.878906 1714303961.8136
MEM 545.617188 1714303961.9402
MEM 540.441406 1714303962.0799
MEM 535.878906 1714303962.1886
MEM 550.460938 1714303962.3611
MEM 554.015625 1714303962.4728
MEM 557.808594 1714303962.5845
MEM 551.460938 1714303962.7182
MEM 569.523438 1714303962.8648
MEM 567.328125 1714303963.0094
MEM 560.843750 1714303963.1415
MEM 556.066406 1714303963.2741
MEM 561.839844 1714303963.3948
MEM 565.855469 1714303963.5234
MEM 569.898438 1714303963.6591
MEM 566.031250 1714303963.7748
MEM 575.601562 1714303963.9483
MEM 578.089844 1714303964.0919
MEM 583.582031 1714303964.2335
MEM 584.660156 1714303964.3951
