CMDLINE C:\ProgramData\anaconda3\envs\torch_env\python.exe main_googlenet.py
MEM 1.558594 1713076463.5471
MEM 23.289062 1713076463.6505
MEM 151.574219 1713076463.7539
MEM 171.687500 1713076463.8566
MEM 185.863281 1713076463.9593
MEM 199.050781 1713076464.0620
MEM 229.683594 1713076464.1653
MEM 249.406250 1713076464.2680
MEM 255.472656 1713076464.3708
MEM 263.777344 1713076464.4735
MEM 273.125000 1713076464.5762
MEM 288.132812 1713076464.6789
MEM 296.816406 1713076464.7817
MEM 306.484375 1713076464.8850
MEM 314.664062 1713076464.9877
MEM 321.156250 1713076465.0909
MEM 326.648438 1713076465.1946
MEM 335.132812 1713076465.2973
MEM 348.011719 1713076465.4006
MEM 356.191406 1713076465.5033
MEM 372.296875 1713076465.6061
MEM 379.390625 1713076465.7088
MEM 387.027344 1713076465.8115
MEM 399.089844 1713076465.9142
MEM 406.171875 1713076466.0170
MEM 411.566406 1713076466.1197
MEM 418.808594 1713076466.2228
MEM 423.828125 1713076466.3265
MEM 453.968750 1713076466.4532
MEM 450.335938 1713076466.5928
MEM 462.246094 1713076466.7165
MEM 471.667969 1713076466.8591
MEM 463.773438 1713076466.9828
MEM 476.019531 1713076467.1005
MEM 484.964844 1713076467.2182
MEM 475.101562 1713076467.3428
MEM 469.816406 1713076467.4894
MEM 475.203125 1713076467.6051
MEM 486.441406 1713076467.7418
MEM 494.894531 1713076467.8754
MEM 489.343750 1713076468.0100
MEM 492.476562 1713076468.1497
MEM 500.746094 1713076468.2983
MEM 502.281250 1713076468.4362
MEM 500.835938 1713076468.5668
MEM 504.902344 1713076468.6835
MEM 506.640625 1713076468.8441
MEM 505.199219 1713076468.9688
MEM 505.093750 1713076469.1074
MEM 511.238281 1713076469.2670
MEM 522.082031 1713076469.4056
MEM 507.289062 1713076469.5163
MEM 506.132812 1713076469.6270
MEM 524.847656 1713076469.8095
MEM 521.003906 1713076469.9461
MEM 525.554688 1713076470.0838
MEM 530.300781 1713076470.2234
MEM 528.281250 1713076470.3770
MEM 534.250000 1713076470.5166
MEM 528.285156 1713076470.6473
MEM 545.613281 1713076470.7979
MEM 526.652344 1713076470.9096
MEM 546.980469 1713076471.0412
MEM 544.558594 1713076471.1808
MEM 548.144531 1713076471.3235
MEM 551.417969 1713076471.4338
MEM 539.328125 1713076471.5744
MEM 546.402344 1713076471.7070
MEM 557.679688 1713076471.8457
MEM 551.269531 1713076471.9993
MEM 552.785156 1713076472.1508
MEM 560.121094 1713076472.3004
MEM 558.664062 1713076472.4131
MEM 575.136719 1713076472.5667
MEM 563.460938 1713076472.6984
MEM 558.261719 1713076472.8211
MEM 572.421875 1713076472.9727
MEM 571.683594 1713076473.1033
MEM 584.968750 1713076473.2280
MEM 573.445312 1713076473.3526
MEM 588.062500 1713076473.5032
MEM 577.578125 1713076473.6279
MEM 585.585938 1713076473.8044
MEM 589.125000 1713076473.9279
MEM 591.148438 1713076474.0775
MEM 600.902344 1713076474.1932
MEM 595.796875 1713076474.3179
MEM 601.785156 1713076474.4670
MEM 602.496094 1713076474.5867
MEM 607.562500 1713076474.7233
MEM 612.421875 1713076474.8776
MEM 600.855469 1713076475.0043
MEM 607.878906 1713076475.1529
MEM 607.937500 1713076475.3074
MEM 609.714844 1713076475.4570
MEM 614.929688 1713076475.5927
MEM 616.324219 1713076475.7343
MEM 617.109375 1713076475.8699
MEM 622.910156 1713076475.9896
MEM 622.199219 1713076476.1183
MEM 630.851562 1713076476.2539
MEM 629.125000 1713076476.3616
MEM 622.417969 1713076476.5062
MEM 631.718750 1713076476.6449
MEM 637.398438 1713076476.7785
MEM 635.304688 1713076476.9002
MEM 662.167969 1713076477.0029
MEM 641.394531 1713076477.1286
MEM 639.273438 1713076477.2552
MEM 643.125000 1713076477.3928
MEM 642.214844 1713076477.5195
MEM 647.339844 1713076477.6371
MEM 651.894531 1713076477.7738
MEM 650.804688 1713076477.9583
MEM 655.570312 1713076478.0989
MEM 657.316406 1713076478.2196
MEM 653.726562 1713076478.3462
MEM 660.496094 1713076478.4879
MEM 666.992188 1713076478.6065
MEM 660.437500 1713076478.7522
MEM 661.441406 1713076478.8998
MEM 674.281250 1713076479.0184
MEM 666.859375 1713076479.1511
MEM 673.085938 1713076479.2748
MEM 675.871094 1713076479.3895
MEM 672.164062 1713076479.5061
MEM 674.718750 1713076479.6378
MEM 679.394531 1713076479.7535
MEM 691.128906 1713076479.9001
MEM 681.574219 1713076480.0208
MEM 694.898438 1713076480.1594
MEM 687.929688 1713076480.2970
MEM 688.691406 1713076480.4288
MEM 686.496094 1713076480.5664
MEM 700.265625 1713076480.7041
MEM 691.207031 1713076480.8297
MEM 700.843750 1713076480.9654
MEM 704.488281 1713076481.0960
MEM 701.660156 1713076481.2167
MEM 712.316406 1713076481.3803
MEM 712.210938 1713076481.4970
MEM 716.464844 1713076481.6116
MEM 710.609375 1713076481.7283
MEM 715.839844 1713076481.8979
MEM 721.867188 1713076482.0345
MEM 725.050781 1713076482.1881
MEM 717.835938 1713076482.3198
MEM 720.542969 1713076482.4574
MEM 728.296875 1713076482.5691
MEM 732.585938 1713076482.6848
MEM 742.343750 1713076482.8045
MEM 736.433594 1713076482.9391
MEM 731.441406 1713076483.0578
MEM 735.050781 1713076483.2064
MEM 746.691406 1713076483.3311
MEM 742.941406 1713076483.4585
MEM 743.824219 1713076483.5942
MEM 751.152344 1713076483.7408
MEM 747.449219 1713076483.8615
MEM 744.750000 1713076484.0001
MEM 743.246094 1713076484.1367
MEM 757.265625 1713076484.2624
MEM 756.425781 1713076484.4040
MEM 758.531250 1713076484.5307
MEM 761.410156 1713076484.6573
MEM 762.406250 1713076484.7740
MEM 764.562500 1713076484.9039
MEM 761.773438 1713076485.0564
MEM 768.511719 1713076485.1891
MEM 769.527344 1713076485.3058
MEM 773.105469 1713076485.4145
MEM 783.714844 1713076485.5382
MEM 776.890625 1713076485.6678
MEM 777.421875 1713076485.7835
MEM 787.667969 1713076485.9022
MEM 782.027344 1713076486.0318
MEM 784.367188 1713076486.1814
MEM 785.113281 1713076486.2971
MEM 790.988281 1713076486.4233
MEM 794.238281 1713076486.5899
MEM 794.882812 1713076486.7225
MEM 800.660156 1713076486.8492
MEM 798.597656 1713076486.9958
MEM 797.726562 1713076487.1364
MEM 814.250000 1713076487.2690
MEM 806.082031 1713076487.3987
MEM 816.730469 1713076487.5563
MEM 813.589844 1713076487.6959
MEM 818.910156 1713076487.8275
MEM 814.750000 1713076487.9412
MEM 822.898438 1713076488.0988
MEM 849.312500 1713076488.2025
MEM 810.953125 1713076488.3402
MEM 829.535156 1713076488.4579
MEM 825.062500 1713076488.5885
MEM 826.871094 1713076488.7172
MEM 837.320312 1713076488.8319
MEM 831.148438 1713076488.9665
MEM 833.367188 1713076489.0912
MEM 832.359375 1713076489.2398
MEM 835.148438 1713076489.3664
MEM 850.160156 1713076489.5238
MEM 845.414062 1713076489.6484
MEM 846.929688 1713076489.7890
MEM 846.867188 1713076489.9277
MEM 853.851562 1713076490.0424
MEM 859.085938 1713076490.1790
MEM 857.191406 1713076490.2987
MEM 854.644531 1713076490.4204
