CMDLINE C:\ProgramData\anaconda3\envs\torch_env\python.exe main_googlenet.py
MEM 1.554688 1714464895.4356
MEM 22.582031 1714464895.5384
MEM 27.550781 1714464895.6412
MEM 39.703125 1714464895.7447
MEM 53.441406 1714464895.8480
MEM 64.117188 1714464895.9525
MEM 74.019531 1714464896.0565
MEM 85.039062 1714464896.1615
MEM 94.445312 1714464896.2638
MEM 104.542969 1714464896.3664
MEM 115.351562 1714464896.4712
MEM 131.292969 1714464896.5736
MEM 141.285156 1714464896.6800
MEM 146.996094 1714464896.7830
MEM 159.449219 1714464896.8854
MEM 173.625000 1714464896.9885
MEM 185.687500 1714464897.0916
MEM 194.355469 1714464897.1947
MEM 204.898438 1714464897.2971
MEM 221.121094 1714464897.3998
MEM 235.820312 1714464897.5029
MEM 245.386719 1714464897.6057
MEM 250.367188 1714464897.7082
MEM 254.402344 1714464897.8106
MEM 258.207031 1714464897.9135
MEM 262.843750 1714464898.0164
MEM 265.941406 1714464898.1196
MEM 272.082031 1714464898.2227
MEM 279.484375 1714464898.3252
MEM 287.148438 1714464898.4278
MEM 291.988281 1714464898.5300
MEM 297.128906 1714464898.6329
MEM 303.972656 1714464898.7357
MEM 311.582031 1714464898.8390
MEM 317.804688 1714464898.9427
MEM 322.644531 1714464899.0455
MEM 326.687500 1714464899.1480
MEM 329.945312 1714464899.2505
MEM 334.285156 1714464899.3534
MEM 339.628906 1714464899.4571
MEM 347.390625 1714464899.5595
MEM 353.285156 1714464899.6618
MEM 359.613281 1714464899.7651
MEM 365.031250 1714464899.8681
MEM 368.281250 1714464899.9706
MEM 373.210938 1714464900.0731
MEM 375.578125 1714464900.1761
MEM 379.128906 1714464900.2792
MEM 384.273438 1714464900.3822
MEM 388.714844 1714464900.4847
MEM 393.312500 1714464900.5881
MEM 404.316406 1714464900.6910
MEM 409.500000 1714464900.7938
MEM 414.390625 1714464900.8965
MEM 415.878906 1714464900.9987
MEM 418.648438 1714464901.1019
MEM 422.593750 1714464901.2046
MEM 425.269531 1714464901.3074
MEM 447.953125 1714464901.4222
MEM 460.894531 1714464901.5628
MEM 463.050781 1714464901.6835
MEM 469.753906 1714464901.8271
MEM 481.156250 1714464901.9747
MEM 472.488281 1714464902.1094
MEM 473.214844 1714464902.2450
MEM 484.769531 1714464902.3806
MEM 477.273438 1714464902.5432
MEM 485.015625 1714464902.6828
MEM 488.058594 1714464902.8165
MEM 490.863281 1714464902.9537
MEM 501.363281 1714464903.1043
MEM 506.574219 1714464903.2389
MEM 494.820312 1714464903.3656
MEM 501.074219 1714464903.4992
MEM 506.855469 1714464903.6778
MEM 505.917969 1714464903.8174
MEM 504.492188 1714464903.9580
MEM 503.832031 1714464904.1096
MEM 507.640625 1714464904.2533
MEM 512.128906 1714464904.3910
MEM 507.562500 1714464904.5605
MEM 514.464844 1714464904.6782
MEM 497.156250 1714464904.8188
MEM 513.507812 1714464904.9804
MEM 516.937500 1714464905.1051
MEM 519.339844 1714464905.2507
MEM 521.753906 1714464905.3923
MEM 530.949219 1714464905.5489
MEM 533.089844 1714464905.6765
MEM 534.917969 1714464905.8072
MEM 540.992188 1714464905.9448
MEM 544.726562 1714464906.0874
MEM 539.074219 1714464906.2340
MEM 537.691406 1714464906.3906
MEM 555.648438 1714464906.5492
MEM 562.652344 1714464906.6868
MEM 553.367188 1714464906.8285
MEM 558.093750 1714464906.9611
MEM 567.757812 1714464907.1345
MEM 558.679688 1714464907.2592
MEM 567.464844 1714464907.3918
MEM 565.386719 1714464907.5394
MEM 553.082031 1714464907.6531
MEM 568.359375 1714464907.7848
MEM 568.886719 1714464907.9344
MEM 576.046875 1714464908.0979
MEM 572.000000 1714464908.2425
MEM 581.058594 1714464908.3842
MEM 578.515625 1714464908.5288
MEM 586.449219 1714464908.6774
MEM 577.222656 1714464908.8040
MEM 589.609375 1714464908.9227
MEM 590.281250 1714464909.0693
MEM 592.980469 1714464909.2379
MEM 594.562500 1714464909.4164
MEM 595.203125 1714464909.5371
MEM 601.625000 1714464909.6947
MEM 600.332031 1714464909.8163
MEM 609.359375 1714464909.9520
MEM 610.917969 1714464910.0966
MEM 608.757812 1714464910.2500
MEM 637.125000 1714464910.3537
MEM 619.679688 1714464910.4784
MEM 615.984375 1714464910.6198
MEM 616.941406 1714464910.7395
MEM 615.906250 1714464910.8482
MEM 609.554688 1714464910.9748
MEM 611.667969 1714464911.1135
MEM 620.187500 1714464911.2740
MEM 627.511719 1714464911.4057
MEM 629.464844 1714464911.5583
MEM 631.832031 1714464911.7099
MEM 647.027344 1714464911.8545
MEM 637.414062 1714464911.9901
MEM 643.847656 1714464912.1477
MEM 641.089844 1714464912.2932
MEM 643.187500 1714464912.4331
MEM 649.703125 1714464912.5697
MEM 652.125000 1714464912.7463
MEM 651.246094 1714464912.8679
MEM 652.953125 1714464913.0035
MEM 660.195312 1714464913.1497
MEM 659.812500 1714464913.3272
MEM 665.398438 1714464913.4708
MEM 672.742188 1714464913.6194
MEM 668.933594 1714464913.7421
MEM 662.562500 1714464913.8697
MEM 677.230469 1714464914.0144
MEM 676.734375 1714464914.1520
MEM 677.855469 1714464914.3395
MEM 686.593750 1714464914.4512
MEM 676.792969 1714464914.5878
MEM 684.269531 1714464914.7195
MEM 677.125000 1714464914.8401
MEM 681.765625 1714464914.9518
MEM 685.554688 1714464915.0785
MEM 680.503906 1714464915.1902
MEM 691.414062 1714464915.3288
MEM 692.636719 1714464915.4525
MEM 701.097656 1714464915.6001
MEM 690.863281 1714464915.7208
MEM 706.351562 1714464915.8724
MEM 711.574219 1714464915.9861
MEM 715.667969 1714464916.1014
MEM 710.042969 1714464916.2560
MEM 708.871094 1714464916.4082
MEM 711.750000 1714464916.5427
MEM 719.781250 1714464916.6594
MEM 719.273438 1714464916.8040
MEM 715.191406 1714464916.9496
MEM 716.976562 1714464917.0713
MEM 718.410156 1714464917.2279
MEM 717.964844 1714464917.3595
MEM 726.003906 1714464917.4962
MEM 729.023438 1714464917.6159
MEM 726.687500 1714464917.7286
MEM 737.457031 1714464917.8732
MEM 732.582031 1714464917.9928
MEM 739.503906 1714464918.1235
MEM 734.019531 1714464918.2751
MEM 752.953125 1714464918.4097
MEM 742.011719 1714464918.5324
MEM 752.218750 1714464918.6641
MEM 747.625000 1714464918.7807
MEM 758.601562 1714464918.9303
MEM 747.917969 1714464919.0610
MEM 760.046875 1714464919.1884
MEM 753.839844 1714464919.3749
MEM 761.281250 1714464919.5235
MEM 764.601562 1714464919.6482
MEM 767.320312 1714464919.7978
MEM 767.253906 1714464919.9245
MEM 778.828125 1714464920.0631
MEM 771.070312 1714464920.1957
MEM 776.121094 1714464920.3373
MEM 781.851562 1714464920.4793
MEM 779.925781 1714464920.5995
MEM 776.726562 1714464920.7401
MEM 780.406250 1714464920.8548
MEM 788.304688 1714464920.9745
MEM 787.667969 1714464921.0832
MEM 790.687500 1714464921.2089
MEM 782.773438 1714464921.3206
MEM 785.050781 1714464921.4582
MEM 806.542969 1714464921.5629
MEM 792.855469 1714464921.6796
MEM 785.421875 1714464921.7873
MEM 785.945312 1714464921.8941
MEM 787.621094 1714464922.0008
MEM 788.714844 1714464922.1050
MEM 785.828125 1714464922.2088
MEM 783.097656 1714464922.3125
MEM 773.148438 1714464922.4152
MEM 796.667969 1714464922.5189
MEM 801.039062 1714464922.6456
MEM 804.632812 1714464922.7603
MEM 807.968750 1714464922.9169
MEM 800.203125 1714464923.0397
